"U","Li","Co","K","Cs","Sc","Ti"
0.945469,1.477121,0.986772,4.212986,1.826075,0.986772,3.628082
0.447158,1.755875,0.995635,4.207096,1.763428,1.053078,3.583199
0.85187,1.361728,1,4.261976,1.924279,0.968483,3.539452
0.628389,1.544068,0.977724,4.257198,1.897627,0.991226,3.601951
0.511883,1.643453,0.94939,4.210319,2.053078,0.863323,3.34733
0.663701,2.079181,0.982271,4.061829,1.934498,1.060698,3.516271
0.600973,1.763428,1,4.322219,1.944483,1.012837,3.615529
1.365488,1.732394,0.80618,4.321391,2.510545,0.968483,3.664924
0.578639,1.69897,1.149219,4.155032,2.220108,1.146128,3.866169
0.599883,1.662758,1.033424,4.247973,1.991226,1.120574,3.685742
0.698101,1.724276,1.012837,4.245019,1.90309,0.929419,3.640581
0.618048,1.748188,0.929419,4.386499,1.919078,0.995635,3.587037
0.910091,1.826075,1.079181,4.401917,2.298853,1.271842,3.947532
1.04454,1.653213,1.170262,4.194514,2.617,1.4133,4.173769
0.892095,1.414973,1.100371,4.206556,2.423246,1.342423,4.070776
1.352375,1.041393,1.068186,4.20167,2.498311,1.068186,3.994405
0.998259,1.778151,1.240549,4.282396,2.521138,1.313867,4.013259
1.278525,1.20412,1.033424,4.319522,2.499687,1.113943,3.803798
1.144574,1.69897,0.991226,4.255273,2.436163,1.089905,3.828724
1.16938,1.50515,1.127105,4.355068,2.523746,1.220108,3.932677
1.084576,1.748188,1.1959,4.262214,2.567026,1.209515,3.926394
1.351989,1.278754,1.130334,4.099681,2.702431,1.198657,4.023664
1.275311,1.623249,1.176091,3.60309,2.767156,0.986772,3.602386
1.269513,1.531479,1.004321,4.295787,2.523746,1.240549,4.077731
1.442793,1.447158,1.225309,3.687841,2.767898,1.31597,3.775246
1.032619,1.643453,1.120574,4.351216,2.418301,1.296665,3.842235
1.207365,1.568202,1.161368,4.2403,2.431364,1.33646,4.058805
0.808886,1.447158,1.0086,4.385964,2.012837,1.029384,3.721811
0.691081,1.146128,1.113943,3.535864,2.127105,1.146128,3.437275
0.478566,0.845098,0.799341,3.833466,1.826075,0.792392,3.168939
0.749736,1.462398,1.029384,4.169086,1.826075,1.053078,3.60455
1.5168,1.740363,1.158362,4.175512,2.235528,1.262451,3.992333
0.654177,1.255273,1.037426,4.262925,2.068186,1.045323,3.684756
0.868644,1.50515,0.94939,4.461649,2.170262,0.934498,3.767527
0.877371,1.568202,1.08636,4.395152,2.187521,0.963788,3.820989
0.904174,1.623249,0.755875,4.428459,2.064458,0.857332,3.641573
0.889302,1.342423,1.053078,4.210586,2.08636,1.113943,3.639287
0.778151,1.322219,0.908485,4.302547,1.845098,0.954243,3.663983
0.802089,1,1.09691,4.32695,2,1.187521,3.837462
0.788168,1.431364,1.082785,4.292699,1.986772,1.017033,3.705693
0.808211,1.079181,1.209515,3.549739,2.146128,1.079181,3.791691
0.617,1.30103,0.740363,4.235276,1.732394,0.799341,3.557267
0.628389,1.230449,1.176091,3.995372,1.857332,1.320146,3.891593
0.630428,1.041393,1.082785,4.070407,1.732394,1.11059,3.689753
0.921686,1.255273,1.245513,4.08849,2.271842,1.004321,3.732635
1.245513,1.681241,0.90309,4.23147,1.845098,0.845098,3.558589
0.61066,1.763428,0.924279,4.23955,1.880814,0.924279,3.630733
0.624282,1.792392,0.934498,4.197556,1.995635,1.017033,3.591732
0.587711,1.50515,1.184691,4.190051,2.033424,1.012837,3.704837
0.956168,1.477121,0.968483,4.198382,2.049218,0.880814,3.582291
0.811575,1.447158,0.892095,4.28892,2.068186,0.934498,3.545802
0.608526,1.342423,1.017033,4.354876,1.968483,0.857332,3.579898
0.802774,1.322219,0.863323,4.529045,2.113943,0.924279,3.695131
1.396199,1.462398,0.986772,4.104487,1.716003,1.056905,3.616055
1.138934,1.414973,1.100371,4.190051,2.238046,1.079181,3.698275
0.835691,1.447158,1.049218,4.296226,2.123852,0.94939,3.63819
0.71433,1,1.198657,4.165244,2.184691,1.09691,3.836577
0.998695,0.845098,0.832509,4.198382,1.623249,0.477121,3.309204
0.502427,1.591065,0.875061,4.240799,1.90309,0.939519,3.678973
0.71433,1.380211,0.939519,4.338456,1.857332,0.792392,3.455606
0.553883,1.39794,0.954243,4.244277,2.178977,0.897627,3.752202
0.585461,1.477121,1.029384,4.293141,2.079181,0.973128,3.641276
0.612784,1.342423,0.78533,4.270912,1.826075,0.819544,3.591399
0.652246,1.792392,1.068186,4.192567,1.897627,1.117271,3.641177
0.658965,1.832509,0.892095,4.101059,2.049218,0.913814,3.435526
0.534026,1.690196,1.257679,4.270213,2.0086,1.149219,3.703205
0.71265,1.826075,0.851258,4.308137,1.963788,0.995635,3.606489
0.503791,1.556303,0.875061,4.29048,1.863323,0.845098,3.542203
0.577492,1.60206,0.869232,4.357363,1.875061,0.886491,3.49693
0.767898,1.612784,0.959041,4.286456,1.963788,0.892095,3.501744
0.662758,1.716003,1.068186,4.166134,1.875061,1.187521,3.746634
0.434569,1.278754,1.243038,4.104828,1.69897,1.320146,3.859559
0.70927,1.380211,1.146128,4.094471,1.681241,1.252853,3.764027
0.992995,1.531479,1.025306,4.120574,1.845098,1.056905,3.640978
1.062206,1.462398,0.944483,4.207096,1.556303,1.060698,3.560026
0.829947,1.591065,1,4.143015,1.959041,0.968483,3.536432
0.981819,1.623249,1.064458,4.14145,2.045323,1.225309,3.931814
0.598791,1.230449,1.053078,4.154424,2.198657,0.991226,3.856185
0.565848,1.623249,0.995635,4.090963,1.78533,1.041393,3.565376
0.790988,1.255273,1.056905,3.992288,2.294466,1.227887,3.949341
0.746634,1.643453,1.20412,4.089905,2.130334,1.167317,3.58872
0.498311,1.20412,0.845098,3.948609,1.880814,0.633468,3.462548
0.665581,1.653213,1.123852,4.043755,1.968483,1.20412,3.786112
0.414973,1.113943,1.178977,3.927062,1.568202,1.227887,3.780821
0.515874,1,1.161368,4.177825,1.662758,1.230449,3.685742
0.511883,1.799341,0.924279,4.085291,1.845098,0.919078,3.617629
0.765669,2.045323,0.982271,4.181844,2.071882,1.120574,3.65782
0.623249,1.799341,0.886491,4.183839,1.869232,0.845098,3.600319
0.390935,1.892095,0.799341,4.041787,1.623249,0.748188,3.369216
1.025306,1.568202,1,4.18949,2.324282,1.0086,3.70612
0.92737,1.518514,0.919078,4.25261,2.10721,1.012837,3.607777
0.475671,1.518514,1.220108,4.083861,1.633468,1.25042,3.780461
0.93902,1.568202,0.94939,4.11694,1.69897,0.995635,3.549984
1.80679,1.80618,1.075547,4.103804,2.004321,1.012837,3.636388
0.671173,1.724276,0.934498,4.185542,1.812913,0.90309,3.620032
1.489255,1.886491,1.053078,4.278525,1.90309,1.025306,3.756103
0.828015,2.181844,1.033424,4.232234,2.049218,1.255273,3.864511
0.583199,1.740363,0.934498,4.052694,1.812913,0.792392,3.346939
0.488551,1.724276,0.69897,4.129368,1.755875,0.740363,3.508799
1.116608,1.724276,0.94939,4.341039,2.459392,0.959041,3.65408
1.258158,1.633468,0.851258,4.265054,2.655138,0.892095,3.57841
1.283979,1.447158,1.173186,3.485437,2.012837,1.271842,3.780533
1.278982,1.491362,1.11059,3.937568,1.724276,1.217484,3.807738
1.07664,1.518514,1.127105,4.11294,1.959041,1.149219,3.762904
0.494155,1.568202,0.591065,4.03623,1.690196,0.50515,3.266937
1.206286,1.690196,0.924279,4.138934,1.897627,0.763428,3.622939
1.542078,1.845098,1.117271,4.311754,2.389166,1.238046,3.901458
1.130655,1.80618,1.064458,4.349278,2.471292,1.201397,3.829304
0.892651,1.792392,0.94939,4.166134,2.060698,0.94939,3.576341
1.185259,1.361728,1.012837,4.245759,2.230449,0.919078,3.718668
1.231215,1.612784,1.173186,4.271842,2.418301,1.08636,3.785187
1.198382,1.568202,1.053078,4.374015,2.276462,0.886491,3.502973
1.27277,1.623249,0.982271,4.193125,2.706718,1.127105,4.086004
1.321805,1.826075,1.068186,4.318481,2.33646,1.053078,3.870228
1.120574,1.770852,0.991226,4.128722,2.155336,0.977724,3.707229
1.246006,1.819544,1.056905,4.292699,2.382017,1.113943,3.865992
1.419129,1.672098,1.181844,4.089552,2.320146,1.178977,3.824841
1.263636,1.748188,1.08636,4.293804,2.10721,1.08636,3.746323
1.144263,1.672098,1.053078,4.324694,2.598791,1.093422,3.882923
1.223496,1.462398,1.004321,4.193403,2.78533,1.152288,4.01368
1.242293,1.531479,0.963788,4.130334,2.62941,1.133539,3.969323
0.654177,1.447158,0.959041,4.351989,1.819544,0.959041,3.695832
0.736397,1.792392,1.133539,4.231724,2.198657,1.093422,3.602711
1.200029,1.681241,1.017033,4.258158,2.260071,1.068186,3.684935
0.694605,2.037426,1.075547,4.138303,1.944483,1.025306,3.572291
1.696618,1.799341,0.819544,4.369216,1.886491,0.69897,3.31618
0.822822,1.477121,0.892095,4.265054,2.089905,0.70757,3.354685
1.001734,1.919078,0.968483,4.302331,2.240549,1.212188,3.958277
0.978181,1.230449,0.977724,4.205475,2.178977,1.004321,3.996074
1.313867,1.342423,1.093422,3.871806,2.683047,1.285557,4.368101
1.271842,2.045323,1.123852,4.233504,2.257679,1.376577,3.982316
0.976808,1.963788,1.053078,4.228144,2.130334,1.278754,4.009026
1.159567,1.491362,0.944483,4.221153,2.401401,0.869232,3.639984
0.937518,1.50515,1.021189,4.290257,2.146128,1.004321,3.595276
1.510277,1.591065,0.995635,4.175512,2.49693,0.986772,3.670895
0.943495,1.322219,0.919078,4.1329,2.021189,0.851258,3.522444
1.165244,1.414973,0.944483,4.161368,1.973128,0.78533,3.512284
1.664736,1.531479,0.724276,4.290257,1.755875,0.681241,3.223236
1.864274,1.643453,0.863323,4.313656,2.012837,0.778151,3.364363
0.719331,1.518514,1.041393,4.137037,2.11059,1.222716,4.070407
1.067071,1.477121,1.130334,4.172603,1.716003,0.78533,3.443576
0.740363,1.531479,0.934498,4.323871,1.70757,0.880814,3.614897
0.821514,1.612784,1.029384,4.168792,1.869232,0.913814,3.631951
1.084934,1.908485,0.869232,4.305351,1.826075,0.986772,3.696182
0.890421,1.544068,0.991226,4.206826,1.799341,0.892095,3.707655
0.918555,1.643453,0.892095,4.17406,1.690196,0.845098,3.539829
0.498311,1.531479,1.243038,4.156852,2.0086,1.285557,3.848559
0.701568,1.568202,1.193125,4.126456,1.748188,1.278754,3.867526
1.961469,1.653213,0.913814,4.344785,2.283301,0.857332,3.67071
0.78533,1.672098,1.079181,4.143639,2.033424,1.049218,3.608633
0.678518,1.819544,0.869232,4.214579,1.908485,0.939519,3.494015
0.649335,1.60206,0.986772,4.278754,1.963788,0.863323,3.602494
0.260071,0.954243,0.612784,3.59395,1.322219,0.322219,3.0306
0.731589,1.60206,1.060698,4.295127,2.089905,1.0086,3.617839
0.769377,1.591065,0.982271,4.172019,2.071882,1.0086,3.599665
0.670246,1.662758,0.94939,4.341237,1.934498,0.863323,3.5358
0.511883,1.579784,0.886491,4.060698,1.778151,0.863323,3.45515
0.693727,1.653213,0.963788,4.237292,2.09691,0.832509,3.61437
0.617,1.681241,0.869232,4.200029,1.80618,0.845098,3.565966
0.752048,1.748188,0.90309,4.299507,2.012837,0.792392,3.621592
0.685742,1.812913,0.819544,4.241795,1.913814,0.770852,3.547282
0.817565,1.230449,0.986772,4.215373,1.80618,0.732394,3.330819
1.389698,1.518514,0.755875,4.31597,2.079181,0.819544,3.213518
0.646404,1.755875,0.934498,4.263873,1.770852,0.792392,3.529174
0.660865,1.681241,0.832509,4.321184,1.80618,0.812913,3.62941
0.607455,1.568202,0.977724,4.298853,1.973128,0.934498,3.629002
0.574031,1.643453,0.944483,4.288696,1.763428,0.959041,3.673113
0.651278,1.544068,0.94939,4.317227,1.819544,0.819544,3.666143
0.672098,1.491362,0.880814,4.282849,1.875061,0.863323,3.526985
0.478566,1.113943,1.012837,4.297979,2.025306,1.021189,3.61679
0.658011,1.041393,1.113943,4.211654,2.041393,0.94939,3.751125
1.872156,0.90309,0.991226,4.316809,2.262451,0.977724,3.651859
2.136086,1.892095,1.100371,4.180126,2.25042,1.021189,3.426674
0.757396,1.361728,1.004321,4.311118,1.90309,1.025306,3.62521
0.61066,1.50515,1,4.177825,1.80618,0.863323,3.734079
0.596597,1.724276,0.924279,4.143951,1.799341,0.869232,3.476687
1.374748,1.662758,1.045323,4.237795,2.1959,0.826075,3.162564
1.683587,1.531479,0.763428,4.25358,2.752048,0.78533,3.436163
0.501059,0.954243,0.94939,4.186956,1.531479,0.531479,3.583652
0.426511,1.690196,0.681241,3.928805,1.361728,0.544068,3.053463
0.570543,1.30103,1.164353,4.231724,1.929419,0.959041,3.597146
0.62941,1.681241,0.959041,4.229938,1.897627,0.908485,3.563718
0.593286,1.322219,0.919078,4.157759,1.845098,0.892095,3.554852
0.463893,1.380211,0.954243,4.231979,1.80618,0.995635,3.642366
0.481443,1.60206,1.060698,4.1529,1.799341,1.123852,3.739335
0.628389,1.662758,1.045323,4.147676,2.146128,1.176091,3.77612
0.403121,1.70757,1.049218,4.197281,1.845098,1.136721,3.635081
0.744293,1.477121,1.0086,4.286905,1.792392,1.037426,3.713742
0.705008,1.380211,1.100371,4.246745,1.857332,1.093422,3.769599
0.499687,1.612784,1.10721,4.18949,1.908485,1.133539,3.622628
0.491362,1.568202,0.913814,4.306425,1.778151,0.982271,3.611829
0.562293,1.623249,1.11059,4.200303,1.838849,1.117271,3.650113
0.640481,1.612784,1.252853,4.102434,1.755875,1.271842,3.588384
0.604226,1.39794,0.897627,4.21906,2.0086,1.123852,3.523746
0.539076,1.531479,1.021189,4.05038,2.012837,1.133539,3.61742
0.509203,1.568202,0.90309,4.217484,1.913814,1.068186,3.610234
0.596597,1.431364,0.875061,4.155943,2.012837,1.130334,3.484869
0.652246,1.39794,0.869232,4.286681,1.924279,0.851258,3.539076
0.606381,1.518514,1.193125,4.09237,1.857332,1.187521,3.702517
0.571709,1.518514,0.897627,4.162863,1.851258,0.892095,3.573684
0.450249,1.50515,1.149219,4.174641,1.90309,1.274158,3.764848
0.320146,1.380211,1.004321,4.04454,1.662758,1.1959,3.635584
0.38739,1.414973,1.230449,3.987175,1.778151,1.380211,3.889358
0.374748,1.579784,1,4.224792,1.838849,1.064458,3.489818
0.517196,1.544068,0.973128,4.228657,1.944483,0.995635,3.539829
0.178977,1.230449,1.352183,4.159868,1.591065,1.369216,3.645521
0.460898,1.447158,1.079181,4.176381,1.690196,1.071882,3.628797
0.563481,1.39794,1.037426,4.143951,1.732394,1.08636,3.550106
0.49693,1.30103,1.082785,4.058805,1.812913,1.170262,3.598243
0.567026,1.230449,0.90309,4.275081,1.819544,0.819544,3.488127
0.534026,1.322219,0.94939,4.164353,1.963788,0.963788,3.557868
0.815578,1.662758,1.082785,4.285782,2.152288,1.158362,3.718585
0.806858,1.763428,0.740363,4.28892,1.732394,0.892095,3.402605
0.591065,1.612784,0.934498,4.322219,1.799341,0.863323,3.443106
0.685742,1.763428,0.851258,4.340642,1.770852,0.908485,3.386321
0.690196,1.812913,0.995635,4.158362,1.863323,1.029384,3.586024
0.633468,1.447158,0.924279,4.029384,1.857332,1.11059,3.707996
0.528917,1.361728,0.90309,4.164055,1.892095,0.869232,3.585461
1.077731,1.30103,1.012837,4.193681,1.963788,0.954243,3.434249
0.522444,1.230449,1.021189,4.313234,2.012837,0.954243,3.582063
1.0141,1.633468,1.103804,4.206826,2.187521,1.264818,3.917138
0.357935,1.431364,0.819544,4.115278,1.732394,0.612784,3.399501
0.618048,1.113943,0.653213,4.198382,1.869232,0.732394,3.450403
0.632457,1.50515,0.880814,4.307924,1.939519,0.80618,3.524785
0.583199,1.39794,0.70757,4.307924,1.838849,0.70757,3.419295
0.634477,1.568202,1.130334,4.235023,2.1959,1.029384,3.850033
0.488551,1.230449,0.826075,4.206016,1.826075,0.826075,3.500922
0.555094,1.633468,0.838849,4.261025,1.863323,0.819544,3.538322
0.713491,1.230449,0.919078,4.150142,1.924279,0.924279,3.526339
0.515874,1.544068,1.033424,4.238297,2.103804,0.991226,3.691524
0.465383,1.568202,0.968483,4.192846,1.880814,1.060698,3.662096
0.463893,1.568202,1.0086,4.22917,1.812913,0.968483,3.570893
0.582063,1.477121,1.025306,4.268578,1.968483,0.934498,3.798927
0.567026,1.230449,0.959041,4.240799,2.060698,0.929419,3.676145
0.485721,1.50515,0.880814,4.24403,1.963788,0.913814,3.696618
0.418301,0.954243,0.913814,4.172603,1.90309,0.838849,3.677789
0.585461,1.544068,0.832509,4.247237,1.819544,0.908485,3.574841
0.667453,1.491362,1.017033,4.226084,2.123852,1.068186,3.671913
0.52763,1.361728,0.845098,4.154728,1.94939,0.869232,3.639586
0.593286,1.80618,0.963788,4.237795,1.892095,0.919078,3.564784
0.646404,1.518514,0.892095,4.082426,2.133539,0.812913,3.66736
0.643453,1.431364,1.064458,4.226342,2.143015,1.021189,3.704151
0.677607,1.491362,0.944483,4.248954,1.959041,0.944483,3.708591
0.565848,1.342423,0.986772,4.300595,1.954243,0.982271,3.629817
0.557507,1.176091,0.94939,4.187521,2.093422,0.90309,3.8025
0.691081,1.591065,0.880814,4.187239,1.892095,0.838849,3.423574
0.868056,1.90309,1.041393,4.365301,2.103804,1.068186,3.715335
1.239049,1.690196,0.954243,4.388456,2.296665,1.033424,3.583879
0.631444,1.740363,0.919078,4.211654,1.94939,0.812913,3.520615
0.485721,1.462398,0.963788,4.151982,1.819544,0.845098,3.477555
0.617,1.579784,0.845098,4.250908,1.812913,0.748188,3.510679
0.604226,1.50515,0.982271,4.218536,1.838849,0.929419,3.623559
0.514548,1.079181,0.880814,4.193125,1.944483,0.80618,3.499412
0.552668,1.322219,0.78533,4.181558,1.763428,0.763428,3.562055
0.423246,1,0.886491,4.203848,1.78533,0.78533,3.609061
0.564666,1.568202,0.886491,4.217484,1.819544,0.857332,3.538699
